Código do Programa,Programa,Nome,Área de Concentração,Data de Início,Data de Fim
33002010149P3,ENERGIA,"TECNOLOGIAS DE CONVERSÃO, TRANSPORTE E USOS FINAIS DA ENERGIA",TECNOLOGIA DA ENERGIA,01/01/2018,-
33002010149P3,ENERGIA,RECURSOS FÓSSEIS,ANÁLISE E PLANEJAMENTO ENERGÉTICO,01/01/2018,-
33002010149P3,ENERGIA,DESENVOLVIMENTO TECNOLÓGICO PARA FONTES NÃO RENOVÁVEIS DE ENERGIA,TECNOLOGIA DA ENERGIA,01/01/2018,-
33002010149P3,ENERGIA,FONTES RENOVÁVEIS DE ENERGIA,ANÁLISE E PLANEJAMENTO ENERGÉTICO,01/01/2018,-
33002010149P3,ENERGIA,ENERGIA E SOCIEDADE,ANÁLISE E PLANEJAMENTO ENERGÉTICO,01/01/2018,-
33002010149P3,ENERGIA,"EFICIÊNCIA ENERGÉTICA, QUALIDADE E CONFIABILIDADE DA ENERGIA",TECNOLOGIA DA ENERGIA,01/01/2018,-
33002010149P3,ENERGIA,DESENVOLVIMENTO TECNOLÓGICO PARA FONTES RENOVÁVEIS DE ENERGIA,TECNOLOGIA DA ENERGIA,01/01/2018,-
33002010150P1,CLÍNICA VETERINÁRIA,PATOLOGIA CLÍNICA VETERINÁRIA,CLÍNICA VETERINÁRIA,01/01/2012,-
33002010150P1,CLÍNICA VETERINÁRIA,CLÍNICA MÉDICA DE CANINOS E FELINOS,CLÍNICA VETERINÁRIA,01/01/2012,-
33002010150P1,CLÍNICA VETERINÁRIA,CLÍNICA MÉDICA DE EQÜINOS,CLÍNICA VETERINÁRIA,01/01/2012,-
33002010150P1,CLÍNICA VETERINÁRIA,CLÍNICA MÉDICA DE DOENÇAS NUTRICIONAIS E METABÓLICAS,CLÍNICA VETERINÁRIA,01/01/2012,-
33002010150P1,CLÍNICA VETERINÁRIA,"CLÍNICA MÉDICA DE BOVINOS, CAPRINOS E OVINOS",CLÍNICA VETERINÁRIA,01/01/2012,-
33002010151P8,ARQUEOLOGIA,1. ARQUEOLOGIA E IDENTIDADE,ARQUEOLOGIA,01/01/2013,-
33002010151P8,ARQUEOLOGIA,3. ARQUEOLOGIA E SOCIEDADE,ARQUEOLOGIA,01/01/2013,-
33002010151P8,ARQUEOLOGIA,2. ARQUEOLOGIA E AMBIENTE,ARQUEOLOGIA,01/01/2013,-
33002010154P7,ONCOLOGIA,IMAGENOLOGIA MÉDICA,ONCOLOGIA,01/01/2012,-
33002010154P7,ONCOLOGIA,ONCOLOGIA MOLECULAR,ONCOLOGIA,01/01/2012,-
33002010154P7,ONCOLOGIA,PESQUISA CLÍNICA EM ONCOLOGIA,ONCOLOGIA,01/01/2012,-
33002010155P3,CLÍNICA CIRÚRGICA VETERINÁRIA,IMAGINOLOGIA,CLÍNICA CIRÚRGICA VETERINÁRIA,01/01/2012,-
33002010155P3,CLÍNICA CIRÚRGICA VETERINÁRIA,ANESTESIOLOGIA CLÍNICA E EXPERIMENTAL,CLÍNICA CIRÚRGICA VETERINÁRIA,01/01/2012,-
33002010155P3,CLÍNICA CIRÚRGICA VETERINÁRIA,CIRURGIA CLÍNICA E EXPERIMENTAL,CLÍNICA CIRÚRGICA VETERINÁRIA,01/01/2012,-
33002010156P0,BIOTECNOLOGIA,BIOTECNOLOGIA VEGETAL,BIOTECNOLOGIA,01/01/2013,-
33002010156P0,BIOTECNOLOGIA,BIOTECNOLOGIA MÉDICA,BIOTECNOLOGIA,01/01/2013,-
33002010156P0,BIOTECNOLOGIA,BIOTECNOLOGIA ANIMAL,BIOTECNOLOGIA,01/01/2013,-
33002010156P0,BIOTECNOLOGIA,BIOTECNOLOGIA AMBIENTAL,BIOTECNOLOGIA,01/01/2013,-
33002010156P0,BIOTECNOLOGIA,BIOTECNOLOGIA INDUSTRIAL,BIOTECNOLOGIA,01/01/2013,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),DEFINIÇÃO E APLICABILIDADE DE FATORES E ESCORES DE RISCO EM CIRURGIA CARDIOVASCULAR,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2013,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),INTERVENÇÕES NO PROCESSO DE REMODELAMENTO VENTRICULAR NA INSUFICIÊNCIA MIOCÁRDICA,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),MÉTODOS DE DIAGNÓSTICO E CONTROLE DAS COMPLICAÇÕES NOS TRANSPLANTES CARDIOPULMONARES,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),ESTUDO DAS ALTERAÇÕES DECORRENTES DA MORTE ENCEFÁLICA E DOS MÉTODOS DE PRESERVAÇÃO DOS ENXERTOS NOS TRANSPLANTES CARDIOTORÁCICOS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),MECANISMOS DE PREVENÇÃO DAS LESÕES DE ISQUEMIA E REPERFUSÃO NA ABORDAGEM CIRÚRGICA DAS CARDIOPATIAS E DOENÇAS VASCULARES,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),DESFECHOS DO TRATAMENTO CIRÚRGICO DO CÂNCER DE PULMÃO E OUTRAS NEOPLASIAS TORÁCICAS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),PROCEDIMENTOS CONSERVADORES E MINIMAMENTE INVASIVOS NO TRATAMENTO DAS VALVOPATIAS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),MODIFICAÇÕES ENDOTELIAIS E DA MECÂNICA VENTILATÓRIA NO TRATAMENTO DAS PNEUMOPATIAS AVANÇADAS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),PRINCÍPIOS ANATÔMICOS E FUNCIONAIS DAS INTERVENÇÕES CIRÚRGICAS NAS MALFORMAÇÕES CARDÍACAS CONGÊNITAS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2012,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),MODIFICAÇÕES ANÁTOMO-FUNCIONAIS DA PAREDE TORÁCICA NO TRATAMENTO DAS DEFORMIDADES CONGÊNITAS E ADQUIRIDAS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2013,-
33002010161P3,MEDICINA (CIRURGIA TORÁCICA E CARDIOVASCULAR),DESENVOLVIMENTO DE ENXERTOS E PRÓTESES EM CARDIOPNEUMOLOGIA POR ENGENHARIA DE TECIDOS,CIRURGIA TORÁCICA E CARDIOVASCULAR,01/01/2017,-
33002010162P0,NEUROCIÊNCIAS E COMPORTAMENTO,NEUROTRANSMISSORES E COMPORTAMENTO,NEUROCIÊNCIAS E COMPORTAMENTO,01/01/2012,-
33002010162P0,NEUROCIÊNCIAS E COMPORTAMENTO,"SENSAÇÃO, PERCEPÇÃO E MOVIMENTO.",NEUROCIÊNCIAS E COMPORTAMENTO,01/01/2012,-
33002010162P0,NEUROCIÊNCIAS E COMPORTAMENTO,DESENVOLVIMENTO E PLASTICIDADE,NEUROCIÊNCIAS E COMPORTAMENTO,01/01/2012,-
33002010162P0,NEUROCIÊNCIAS E COMPORTAMENTO,"HISTÓRIA, FILOSOFIA E EDUCAÇÃO EM NEUROCIÊNCIAS",NEUROCIÊNCIAS E COMPORTAMENTO,01/01/2016,-
33002010163P6,NUTRIÇÃO HUMANA APLICADA,POLÍTICA DE SEGURANÇA ALIMENTAR E NUTRICIONAL,NUTRICAO HUMANA APLICADA,01/01/2012,-
33002010165P9,ZOOTECNIA,"PRODUÇÃO E MANEJO DE ANIMAIS, ETOLOGIA, BIOCLIMATOLOGIA, CONSTRUÇÕES E AMBIÊNCIA",QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010165P9,ZOOTECNIA,"BIOLOGIA MOLECULAR, GENÉTICA E MELHORAMENTO ANIMAL",QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010165P9,ZOOTECNIA,"NUTRIÇÃO E ALIMENTAÇÃO ANIMAL, AVALIAÇÃO DE ALIMENTOS E EXIGÊNCIAS DOS ANIMAIS",QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010165P9,ZOOTECNIA,APLICAÇÃO DAS CIÊNCIAS FUNDAMENTAIS EM ZOOTECNIA,QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010165P9,ZOOTECNIA,"PRODUÇÃO, MANEJO E AVALIAÇÃO DE PLANTAS FORRAGEIRAS E PASTAGENS",QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010165P9,ZOOTECNIA,PRODUÇÃO E TECNOLOGIA DE ALIMENTOS,QUALIDADE E PRODUTIVIDADE ANIMAL,01/01/2012,-
33002010168P8,LETRAS (EST.COMP. DE LITER. DE LÍNGUA PORTUGUESA),LITERATURA E EXPERIÊNCIA HISTÓRICA NOS PAÍSES DE LÍNGUA PORTUGUESA,ESTUDOS COMPARADOS DE LIT. DE LINGUA PORTUGUESA,01/01/2008,-
33002010168P8,LETRAS (EST.COMP. DE LITER. DE LÍNGUA PORTUGUESA),LITERATURA E OUTRAS FORMAS DO SABER,ESTUDOS COMPARADOS DE LIT. DE LINGUA PORTUGUESA,01/01/2008,-
33002010168P8,LETRAS (EST.COMP. DE LITER. DE LÍNGUA PORTUGUESA),LABORATÓRIOS DE CRIAÇÃO - ESCRITA LITERÁRIA,ESTUDOS COMPARADOS DE LIT. DE LINGUA PORTUGUESA,01/01/2018,-
33002010171P9,CIÊNCIAS MÉDICAS,ENVOLVIMENTO CARDÍACO EM OUTRAS DOENÇAS,DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,PROMOÇÃO DE SAÚDE,EDUCAÇÃO E SAÚDE,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,INFECÇÃO,PROCESSOS IMUNES E INFECCIOSOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,EDUCAÇÃO EM SAÚDE,EDUCAÇÃO E SAÚDE,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,"DESENVOLVIMENTO, ENVELHECIMENTO E DOENÇAS GENÉTICAS",DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,ALERGIA,PROCESSOS INFLAMATÓRIOS E ALÉRGICOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,INSUFICIENCIA RESPIRATORIA,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,EPIDEMIOLOGIA NOS SERVIÇOS DE SAÚDE,EDUCAÇÃO E SAÚDE,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,FISIOPATOLOGIA DOS DISTÚRBIOS DO METABOLISMO DE CARBOIDRATOS,DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,INSUFICIÊNCIA CARDÍACA,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,ASMA EXPERIMENTAL,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,ENSINO MÉDICO,EDUCAÇÃO E SAÚDE,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,METABOLISMO DAS CÉLULAS IMUNES: REGULAÇÃO,PROCESSOS IMUNES E INFECCIOSOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,AVALIAÇÃO BIO-PSICO-SOCIAL DO ENSINO MÉDICO APLICADO À CLÍNICA MÉDICA,EDUCAÇÃO E SAÚDE,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,TRANSPLANTE E TERAPIA CELULAR,PROCESSOS IMUNES E INFECCIOSOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,ALTERAÇÕES HEMODINÂMICAS E ELETROFISIOLÓGICAS:,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,NEOPLASIAS ONCOHEMATOLÓGICAS,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,"HEMOSTASIA, COAGULAÇÃO E TRANSFUSÃO",DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,DISTÚRBIOS METABÓLICOS,DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,DISTÚRBIOS HORMONAIS,DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,CHOQUE E TRAUMA,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,EMERGÊNCIAS EM CARDIOLOGIA,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,RADICAIS LIVRES EM SISTEMAS BIOLÓGICOS,DISTÚRBIOS GENÉTICOS DE DESENVOLVIMENTO E METABOLISMO,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,DEFESA PULMONAR,PROCESSOS IMUNES E INFECCIOSOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,ENVOLVIMENTO DO CORAÇÃO EM DOENÇAS SISTÊMICAS,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,INSUFICIÊNCIA CORONÁRIA,DISTÚRBIOS DO CRESCIMENTO CELULAR HEMO E DA HEMOSTASIA,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,INFLAMAÇÃO,PROCESSOS INFLAMATÓRIOS E ALÉRGICOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,RESPONSIVIDADE PULMONAR,PROCESSOS INFLAMATÓRIOS E ALÉRGICOS,01/01/2006,-
33002010171P9,CIÊNCIAS MÉDICAS,EPIDEMIOLOGIA GENÉTICA DE DOENÇAS CRÔNICAS EM POPULAÇÕES NÃO RELACIONADAS,EDUCAÇÃO E SAÚDE,01/01/2021,-
33002010171P9,CIÊNCIAS MÉDICAS,PESQUISA DE MORBIDADEE ABRANGÊNCIA POPULACIONAL ENVOLVENDO FATORES DE RISCO CARDIOVASCULARES,EDUCAÇÃO E SAÚDE,01/01/2020,-
33002010171P9,CIÊNCIAS MÉDICAS,INVESTIGAÇÃO SÔBRE HÁBITOS DE VIDA : CORRELAÇÃO COM ÍNDICES ANTROPOMÉTRICOS,EDUCAÇÃO E SAÚDE,01/01/2021,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA DO SISTEMA DIGESTÓRIO,FISIOLOGIA HUMANA,13/10/2015,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA DO SISTEMA ENDÓCRINO,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),NEUROFISIOLOGIA,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA CELULAR E METABOLISMO,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA DO SISTEMA RESPIRATÓRIO,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA SISTEMA CARDIOVASCULAR,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),FISIOLOGIA RENAL,FISIOLOGIA HUMANA,01/01/2012,-
33002010172P5,CIÊNCIAS (FISIOLOGIA HUMANA),BIOFÍSICA,FISIOLOGIA HUMANA,01/01/2012,-
33002010174P8,CIÊNCIAS (FISIOLOGIA GERAL),FISIOLOGIA ECOLÓGICA E EVOLUTIVA,FISIOLOGIA GERAL,01/01/2013,-
33002010174P8,CIÊNCIAS (FISIOLOGIA GERAL),"NEUROCIÊNCIAS, COMPORTAMENTO, APRENDIZAGEM E ENSINO",FISIOLOGIA GERAL,02/01/2017,-
33002010174P8,CIÊNCIAS (FISIOLOGIA GERAL),FISIOLOGIA INTEGRATIVA,FISIOLOGIA GERAL,02/01/2017,-
33002010175P4,LETRAS (LÍNGUA LITERATURA E CULTURA JAPONESA),CULTURAS EM CONTATO: INSERÇÃO E DECODIFICAÇÃO,"LINGUA, LITERATURA E CULTURA JAPONESA",10/09/1996,-
33002010175P4,LETRAS (LÍNGUA LITERATURA E CULTURA JAPONESA),TEORIA E ANÁLISE LINGÜÍSTICA EM SUAS DIMENSÕES DIACRÔNICA E SINCRÔNICA,"LINGUA, LITERATURA E CULTURA JAPONESA",10/09/1996,-
33002010175P4,LETRAS (LÍNGUA LITERATURA E CULTURA JAPONESA),TEXTO LITERÁRIO: TRADUÇÃO E ESTUDOS CRÍTICOS,"LINGUA, LITERATURA E CULTURA JAPONESA",10/09/1996,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,ENGENHARIA DE SOFTWARE E BANCOS DE DADOS,CIÊNCIA DA COMPUTAÇÃO,01/01/2024,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,"LÓGICA, INTELIGÊNCIA ARTIFICIAL E MÉTODOS FORMAIS",CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,BIOINFORMÁTICA,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,VISÃO E APRENDIZADO COMPUTACIONAL,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,COMBINATÓRIA E TEORIA DOS GRAFOS,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,INFORMÁTICA NA EDUCAÇÃO,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,CRIPTOGRAFIA E SEGURANÇA DE DADOS,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,SISTEMAS DE SOFTWARE,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,ESCIENCE,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,21/10/2025
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,"ALGORITMOS, OTIMIZAÇÃO COMBINATÓRIA E TEORIA DA COMPUTAÇÃO",CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,OTIMIZAÇÃO CONTÍNUA,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,COMPUTAÇÃO MUSICAL,CIÊNCIA DA COMPUTAÇÃO,01/01/2012,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,APRENDIZADO DE MÁQUINA,CIÊNCIA DA COMPUTAÇÃO,01/01/2016,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,INTERNET DO FUTURO,CIÊNCIA DA COMPUTAÇÃO,01/01/2016,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,SEGURANÇA DE DADOS E CRIPTOGRAFIA,CIÊNCIA DA COMPUTAÇÃO,01/01/2024,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DE DADOS,CIÊNCIA DA COMPUTAÇÃO,01/01/2024,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,MÉTODOS COMPUTACIONAIS DE OTIMIZAÇÃO,CIÊNCIA DA COMPUTAÇÃO,01/01/2024,-
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,"REDES DE COMPUTADORES, SITEMAS DISTRIBUÍDOS E COMPUTAÇÃO PARALELA",CIÊNCIA DA COMPUTAÇÃO,01/01/2024,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),INVESTIGAÇÃO EM FISIOPATOLOGIA RENAL E DO EQUILÍBRIO ÁCIDO-BASE,FISIOPATOLOGIA EXPERIMENTAL,01/01/2009,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),MECANISMOS FISIOPATOLÓGICOS NAS MOLÉSTIAS INFECCIOSAS E PARASITÁRIAS,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),FISIOPATOLOGIA DAS AFECÇÕES DO SISTEMA ÓSTEO-ARTICULAR E DA MUSCULATURA ESQUELÉTICA,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),ESTUDOS FISIOPATOLÓGICOS EM NEUROBIOLOGIA E PSICOBIOLOGIA,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),BIOLOGIA CELULAR E MOLECULAR NA INVESTIGAÇÃO DA PATOGENIA E TERAPÊUTICA DE DOENÇAS HUMANAS,FISIOPATOLOGIA EXPERIMENTAL,01/01/2000,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),FISIOPATOLOGIA DAS AFECÇÕES DO TRATO RESPIRATÓRIO,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),MATEMÁTICA APLICADA À BIOMEDICINA,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),FISIOPATOLOGIA DAS ALTERAÇÕES PROVOCADAS PELA POLUIÇÃO AMBIENTAL,FISIOPATOLOGIA EXPERIMENTAL,01/01/2000,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),DESENVOLVIMENTO E AVALIAÇÃO DE MÉTODOS DE DIFUSÃO DE ENSINO E ASSISTÊNCIA,FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010177P7,CIÊNCIAS (FISIOPATOLOGIA EXPERIMENTAL),"FISIOPATOLOGIA DOS DISTÚRBIOS CARDIOVASCULARES, HEMODINÂMICOS E DA SEPSE",FISIOPATOLOGIA EXPERIMENTAL,01/01/1996,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,REABILITAÇÃO - FISSURAS OROFACIAIS,FISSURAS OROFACIAIS E ANOMALIAS RELACIONADAS,01/01/2015,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,"ETIOLOGIA, EPIDEMIOLOGIA E PREVENÇÃO - FISSURAS OROFACIAIS",FISSURAS OROFACIAIS E ANOMALIAS RELACIONADAS,01/01/2015,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,FORMA E FUNÇÃO - FISSURAS OROFACIAIS,FISSURAS OROFACIAIS E ANOMALIAS RELACIONADAS,01/01/2015,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,FORMA E FUNÇÃO - CICLOS DA VIDA,Cuidado Interdisciplinar nos Diferentes Ciclos da Vida,02/01/2024,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,"ETIOLOGIA, EPIDEMIOLOGIA E PREVENÇÃO - CICLOS DA VIDA",Cuidado Interdisciplinar nos Diferentes Ciclos da Vida,02/01/2024,-
33002010182P0,CIÊNCIAS DA REABILITAÇÃO,REABILITAÇÃO - CICLOS DA VIDA,Cuidado Interdisciplinar nos Diferentes Ciclos da Vida,02/01/2024,-
33002010184P3,LITERATURA E CULTURA RUSSA,SEMIÓTICA DA CULTURA,LITERATURA E CULTURA RUSSA,01/01/2012,-
33002010184P3,LITERATURA E CULTURA RUSSA,PROSA RUSSO-SOVIÉTICA,LITERATURA E CULTURA RUSSA,01/01/2012,-
33002010184P3,LITERATURA E CULTURA RUSSA,TEORIA E CRÍTICA DA LITERATURA RUSSA,LITERATURA E CULTURA RUSSA,01/01/2012,-
33002010184P3,LITERATURA E CULTURA RUSSA,"TEORIA, ESTÉTICA E CRÍTICA DO TEATRO RUSSO SOVIÉTICO",LITERATURA E CULTURA RUSSA,01/01/2012,-
33002010185P0,ESTÉTICA E HISTÓRIA DA ARTE,METODOLOGIA E EPISTEMOLOGIA DA ARTE,ESTÉTICA E HISTÓRIA DA ARTE,14/07/2000,-
33002010185P0,ESTÉTICA E HISTÓRIA DA ARTE,PRODUÇÃO E CIRCULAÇÃO DE ARTE,ESTÉTICA E HISTÓRIA DA ARTE,14/07/2000,-
33002010185P0,ESTÉTICA E HISTÓRIA DA ARTE,TEORIA E CRÍTICA DE ARTE,ESTÉTICA E HISTÓRIA DA ARTE,14/07/2000,-
33002010185P0,ESTÉTICA E HISTÓRIA DA ARTE,HISTÓRIA E HISTORIOGRAFIA DA ARTE,ESTÉTICA E HISTÓRIA DA ARTE,14/07/2000,-
33002010186P6,ENFERMAGEM NA SAÚDE DO ADULTO,CUIDAR DO ADULTO COM AFECÇÕES CRÔNICAS NÃO TRANSMISSÍVEIS,ENFERMAGEM NA SAÚDE DO ADULTO,01/01/2012,-
33002010186P6,ENFERMAGEM NA SAÚDE DO ADULTO,DINÂMICAS DE TRABALHO NA SAÚDE DO ADULTO,ENFERMAGEM NA SAÚDE DO ADULTO,01/01/2012,-
33002010186P6,ENFERMAGEM NA SAÚDE DO ADULTO,CUIDAR DO ADULTO COM AFECÇÕES AGUDAS E CRÍTICAS,ENFERMAGEM NA SAÚDE DO ADULTO,01/01/2012,-
33002010186P6,ENFERMAGEM NA SAÚDE DO ADULTO,TECNOLOGIA NA SAÚDE DO ADULTO,ENFERMAGEM NA SAÚDE DO ADULTO,01/01/2012,-
33002010188P9,BIOINFORMÁTICA,BIOINFORMATICA,BIOINFORMÁTICA,01/01/2012,-
33002010188P9,BIOINFORMÁTICA,APLICAÇÕES,BIOINFORMÁTICA,01/01/2013,-
33002010188P9,BIOINFORMÁTICA,METODOLOGIA,BIOINFORMÁTICA,01/01/2013,-
33002010188P9,BIOINFORMÁTICA,DIAGNÓSTICO CLÍNICO INFORMATIZADO,BIOINFORMÁTICA,01/01/2017,-
